p,file,scenes,codec,frames_ts,BVP,fold
1,/p001/E1/video_ZIP_H264.mp4,E1,H264,/p001/E1/frames_timestamp.csv,/p001/E1/BVP.csv,4
1,/p001/E1/video_ZIP_MJPG.avi,E1,MJPG,/p001/E1/frames_timestamp.csv,/p001/E1/BVP.csv,4
1,/p001/E2/video_ZIP_H264.mp4,E2,H264,/p001/E2/frames_timestamp.csv,/p001/E2/BVP.csv,4
1,/p001/E2/video_ZIP_MJPG.avi,E2,MJPG,/p001/E2/frames_timestamp.csv,/p001/E2/BVP.csv,4
1,/p001/E3/video_ZIP_H264.mp4,E3,H264,/p001/E3/frames_timestamp.csv,/p001/E3/BVP.csv,4
1,/p001/E3/video_ZIP_MJPG.avi,E3,MJPG,/p001/E3/frames_timestamp.csv,/p001/E3/BVP.csv,4
1,/p001/E4/video_ZIP_H264.mp4,E4,H264,/p001/E4/frames_timestamp.csv,/p001/E4/BVP.csv,4
1,/p001/E4/video_ZIP_MJPG.avi,E4,MJPG,/p001/E4/frames_timestamp.csv,/p001/E4/BVP.csv,4
1,/p001/E5/video_ZIP_H264.mp4,E5,H264,/p001/E5/frames_timestamp.csv,/p001/E5/BVP.csv,4
1,/p001/E5/video_ZIP_MJPG.avi,E5,MJPG,/p001/E5/frames_timestamp.csv,/p001/E5/BVP.csv,4
1,/p001/E6/video_ZIP_H264.mp4,E6,H264,/p001/E6/frames_timestamp.csv,/p001/E6/BVP.csv,4
1,/p001/E6/video_ZIP_MJPG.avi,E6,MJPG,/p001/E6/frames_timestamp.csv,/p001/E6/BVP.csv,4
1,/p001/R1/pictures_ZIP_RAW_RGB/00000000.png,R1,RGB,/p001/R1/frames_timestamp.csv,/p001/R1/BVP.csv,4
1,/p001/R1/video_ZIP_H264.mp4,R1,H264,/p001/R1/frames_timestamp.csv,/p001/R1/BVP.csv,4
1,/p001/R1/video_ZIP_MJPG.avi,R1,MJPG,/p001/R1/frames_timestamp.csv,/p001/R1/BVP.csv,4
1,/p001/R2/pictures_ZIP_RAW_RGB/00000000.png,R2,RGB,/p001/R2/frames_timestamp.csv,/p001/R2/BVP.csv,4
1,/p001/R2/video_ZIP_H264.mp4,R2,H264,/p001/R2/frames_timestamp.csv,/p001/R2/BVP.csv,4
1,/p001/R2/video_ZIP_MJPG.avi,R2,MJPG,/p001/R2/frames_timestamp.csv,/p001/R2/BVP.csv,4
1,/p001/R3/pictures_ZIP_RAW_RGB/00000000.png,R3,RGB,/p001/R3/frames_timestamp.csv,/p001/R3/BVP.csv,4
1,/p001/R3/video_ZIP_H264.mp4,R3,H264,/p001/R3/frames_timestamp.csv,/p001/R3/BVP.csv,4
1,/p001/R3/video_ZIP_MJPG.avi,R3,MJPG,/p001/R3/frames_timestamp.csv,/p001/R3/BVP.csv,4
1,/p001/R4/pictures_ZIP_RAW_RGB/00000000.png,R4,RGB,/p001/R4/frames_timestamp.csv,/p001/R4/BVP.csv,4
1,/p001/R4/video_ZIP_H264.mp4,R4,H264,/p001/R4/frames_timestamp.csv,/p001/R4/BVP.csv,4
1,/p001/R4/video_ZIP_MJPG.avi,R4,MJPG,/p001/R4/frames_timestamp.csv,/p001/R4/BVP.csv,4
1,/p001/T1/video_ZIP_H264.mp4,T1,H264,/p001/T1/frames_timestamp.csv,/p001/T1/BVP.csv,4
1,/p001/T1/video_ZIP_MJPG.avi,T1,MJPG,/p001/T1/frames_timestamp.csv,/p001/T1/BVP.csv,4
1,/p001/T2/video_ZIP_H264.mp4,T2,H264,/p001/T2/frames_timestamp.csv,/p001/T2/BVP.csv,4
1,/p001/T2/video_ZIP_MJPG.avi,T2,MJPG,/p001/T2/frames_timestamp.csv,/p001/T2/BVP.csv,4
1,/p001/T3/video_ZIP_H264.mp4,T3,H264,/p001/T3/frames_timestamp.csv,/p001/T3/BVP.csv,4
1,/p001/T3/video_ZIP_MJPG.avi,T3,MJPG,/p001/T3/frames_timestamp.csv,/p001/T3/BVP.csv,4
2,/p002/E1/video_ZIP_H264.mp4,E1,H264,/p002/E1/frames_timestamp.csv,/p002/E1/BVP.csv,2
2,/p002/E1/video_ZIP_MJPG.avi,E1,MJPG,/p002/E1/frames_timestamp.csv,/p002/E1/BVP.csv,2
2,/p002/E2/video_ZIP_H264.mp4,E2,H264,/p002/E2/frames_timestamp.csv,/p002/E2/BVP.csv,2
2,/p002/E2/video_ZIP_MJPG.avi,E2,MJPG,/p002/E2/frames_timestamp.csv,/p002/E2/BVP.csv,2
2,/p002/E3/video_ZIP_H264.mp4,E3,H264,/p002/E3/frames_timestamp.csv,/p002/E3/BVP.csv,2
2,/p002/E3/video_ZIP_MJPG.avi,E3,MJPG,/p002/E3/frames_timestamp.csv,/p002/E3/BVP.csv,2
2,/p002/E4/video_ZIP_H264.mp4,E4,H264,/p002/E4/frames_timestamp.csv,/p002/E4/BVP.csv,2
2,/p002/E4/video_ZIP_MJPG.avi,E4,MJPG,/p002/E4/frames_timestamp.csv,/p002/E4/BVP.csv,2
2,/p002/E5/video_ZIP_H264.mp4,E5,H264,/p002/E5/frames_timestamp.csv,/p002/E5/BVP.csv,2
2,/p002/E5/video_ZIP_MJPG.avi,E5,MJPG,/p002/E5/frames_timestamp.csv,/p002/E5/BVP.csv,2
2,/p002/E6/video_ZIP_H264.mp4,E6,H264,/p002/E6/frames_timestamp.csv,/p002/E6/BVP.csv,2
2,/p002/E6/video_ZIP_MJPG.avi,E6,MJPG,/p002/E6/frames_timestamp.csv,/p002/E6/BVP.csv,2
2,/p002/R1/pictures_ZIP_RAW_RGB/00000000.png,R1,RGB,/p002/R1/frames_timestamp.csv,/p002/R1/BVP.csv,2
2,/p002/R1/video_ZIP_H264.mp4,R1,H264,/p002/R1/frames_timestamp.csv,/p002/R1/BVP.csv,2
2,/p002/R1/video_ZIP_MJPG.avi,R1,MJPG,/p002/R1/frames_timestamp.csv,/p002/R1/BVP.csv,2
2,/p002/R2/pictures_ZIP_RAW_RGB/00000000.png,R2,RGB,/p002/R2/frames_timestamp.csv,/p002/R2/BVP.csv,2
2,/p002/R2/video_ZIP_H264.mp4,R2,H264,/p002/R2/frames_timestamp.csv,/p002/R2/BVP.csv,2
2,/p002/R2/video_ZIP_MJPG.avi,R2,MJPG,/p002/R2/frames_timestamp.csv,/p002/R2/BVP.csv,2
2,/p002/R3/pictures_ZIP_RAW_RGB/00000000.png,R3,RGB,/p002/R3/frames_timestamp.csv,/p002/R3/BVP.csv,2
2,/p002/R3/video_ZIP_H264.mp4,R3,H264,/p002/R3/frames_timestamp.csv,/p002/R3/BVP.csv,2
2,/p002/R3/video_ZIP_MJPG.avi,R3,MJPG,/p002/R3/frames_timestamp.csv,/p002/R3/BVP.csv,2
2,/p002/R4/pictures_ZIP_RAW_RGB/00000000.png,R4,RGB,/p002/R4/frames_timestamp.csv,/p002/R4/BVP.csv,2
2,/p002/R4/video_ZIP_H264.mp4,R4,H264,/p002/R4/frames_timestamp.csv,/p002/R4/BVP.csv,2
2,/p002/R4/video_ZIP_MJPG.avi,R4,MJPG,/p002/R4/frames_timestamp.csv,/p002/R4/BVP.csv,2
2,/p002/T1/video_ZIP_H264.mp4,T1,H264,/p002/T1/frames_timestamp.csv,/p002/T1/BVP.csv,2
2,/p002/T1/video_ZIP_MJPG.avi,T1,MJPG,/p002/T1/frames_timestamp.csv,/p002/T1/BVP.csv,2
2,/p002/T2/video_ZIP_H264.mp4,T2,H264,/p002/T2/frames_timestamp.csv,/p002/T2/BVP.csv,2
2,/p002/T2/video_ZIP_MJPG.avi,T2,MJPG,/p002/T2/frames_timestamp.csv,/p002/T2/BVP.csv,2
2,/p002/T3/video_ZIP_H264.mp4,T3,H264,/p002/T3/frames_timestamp.csv,/p002/T3/BVP.csv,2
2,/p002/T3/video_ZIP_MJPG.avi,T3,MJPG,/p002/T3/frames_timestamp.csv,/p002/T3/BVP.csv,2
3,/p003/E1/video_ZIP_H264.mp4,E1,H264,/p003/E1/frames_timestamp.csv,/p003/E1/BVP.csv,3
3,/p003/E1/video_ZIP_MJPG.avi,E1,MJPG,/p003/E1/frames_timestamp.csv,/p003/E1/BVP.csv,3
3,/p003/E2/video_ZIP_H264.mp4,E2,H264,/p003/E2/frames_timestamp.csv,/p003/E2/BVP.csv,3
3,/p003/E2/video_ZIP_MJPG.avi,E2,MJPG,/p003/E2/frames_timestamp.csv,/p003/E2/BVP.csv,3
3,/p003/E3/video_ZIP_H264.mp4,E3,H264,/p003/E3/frames_timestamp.csv,/p003/E3/BVP.csv,3
3,/p003/E3/video_ZIP_MJPG.avi,E3,MJPG,/p003/E3/frames_timestamp.csv,/p003/E3/BVP.csv,3
3,/p003/E4/video_ZIP_H264.mp4,E4,H264,/p003/E4/frames_timestamp.csv,/p003/E4/BVP.csv,3
3,/p003/E4/video_ZIP_MJPG.avi,E4,MJPG,/p003/E4/frames_timestamp.csv,/p003/E4/BVP.csv,3
3,/p003/E5/video_ZIP_H264.mp4,E5,H264,/p003/E5/frames_timestamp.csv,/p003/E5/BVP.csv,3
3,/p003/E5/video_ZIP_MJPG.avi,E5,MJPG,/p003/E5/frames_timestamp.csv,/p003/E5/BVP.csv,3
3,/p003/E6/video_ZIP_H264.mp4,E6,H264,/p003/E6/frames_timestamp.csv,/p003/E6/BVP.csv,3
3,/p003/E6/video_ZIP_MJPG.avi,E6,MJPG,/p003/E6/frames_timestamp.csv,/p003/E6/BVP.csv,3
3,/p003/R1/pictures_ZIP_RAW_RGB/00000000.png,R1,RGB,/p003/R1/frames_timestamp.csv,/p003/R1/BVP.csv,3
3,/p003/R1/video_ZIP_H264.mp4,R1,H264,/p003/R1/frames_timestamp.csv,/p003/R1/BVP.csv,3
3,/p003/R1/video_ZIP_MJPG.avi,R1,MJPG,/p003/R1/frames_timestamp.csv,/p003/R1/BVP.csv,3
3,/p003/R2/pictures_ZIP_RAW_RGB/00000000.png,R2,RGB,/p003/R2/frames_timestamp.csv,/p003/R2/BVP.csv,3
3,/p003/R2/video_ZIP_H264.mp4,R2,H264,/p003/R2/frames_timestamp.csv,/p003/R2/BVP.csv,3
3,/p003/R2/video_ZIP_MJPG.avi,R2,MJPG,/p003/R2/frames_timestamp.csv,/p003/R2/BVP.csv,3
3,/p003/R3/pictures_ZIP_RAW_RGB/00000000.png,R3,RGB,/p003/R3/frames_timestamp.csv,/p003/R3/BVP.csv,3
3,/p003/R3/video_ZIP_H264.mp4,R3,H264,/p003/R3/frames_timestamp.csv,/p003/R3/BVP.csv,3
3,/p003/R3/video_ZIP_MJPG.avi,R3,MJPG,/p003/R3/frames_timestamp.csv,/p003/R3/BVP.csv,3
3,/p003/R4/pictures_ZIP_RAW_RGB/00000000.png,R4,RGB,/p003/R4/frames_timestamp.csv,/p003/R4/BVP.csv,3
3,/p003/R4/video_ZIP_H264.mp4,R4,H264,/p003/R4/frames_timestamp.csv,/p003/R4/BVP.csv,3
3,/p003/R4/video_ZIP_MJPG.avi,R4,MJPG,/p003/R4/frames_timestamp.csv,/p003/R4/BVP.csv,3
3,/p003/T1/video_ZIP_H264.mp4,T1,H264,/p003/T1/frames_timestamp.csv,/p003/T1/BVP.csv,3
3,/p003/T1/video_ZIP_MJPG.avi,T1,MJPG,/p003/T1/frames_timestamp.csv,/p003/T1/BVP.csv,3
3,/p003/T2/video_ZIP_H264.mp4,T2,H264,/p003/T2/frames_timestamp.csv,/p003/T2/BVP.csv,3
3,/p003/T2/video_ZIP_MJPG.avi,T2,MJPG,/p003/T2/frames_timestamp.csv,/p003/T2/BVP.csv,3
